TIME_PERIOD,imp_emp
2022-01,21701
2022-02,25757
2022-03,32904
2022-04,29869
2022-05,28984
2022-06,29900
2022-07,33925
2022-08,23070
2022-09,25762
2022-10,26513
2022-11,27554
2022-12,31864
2023-01,23434
2023-02,21127
2023-03,30092
2023-04,25343
2023-05,27390
2023-06,29966
2023-07,29831
2023-08,20664
2023-09,26665
2023-10,27675
2023-11,27752
2023-12,36955
2024-01,26697
2024-02,26341
2024-03,32834
2024-04,32714
2024-05,30952
2024-06,36092
2024-07,38046
2024-08,21689
2024-09,28565
2024-10,31105
2024-11,27701
2024-12,40668
